"Story","Title","Result","Date","Stability","Duration (s)"
"Json place holder IT","when posting","SUCCESS","2022-02-01T22:21:44.949879+01:00[Europe/Berlin]","0.0","5.26"
"Hello world service IT","when checking health","COMPROMISED","2022-02-01T22:21:44.973+01:00[Europe/Berlin]","0.0","0.85"
"Json place holder IT","when there are many posts","SUCCESS","2022-02-01T22:21:50.210747+01:00[Europe/Berlin]","0.0","0.49"
"Lichess invitation IT","when we invite a friend to play","ABORTED","2022-02-01T22:21:36.477297+01:00[Europe/Berlin]","0.0","2.35"
"Lichess tutorial IT","when playing the first tutorial, the rest","ABORTED","2022-02-01T22:21:36.543104+01:00[Europe/Berlin]","0.0","1.92"
"Report navigator IT","When tracing errors","SUCCESS","2022-02-01T22:21:36.616401+01:00[Europe/Berlin]","0.0","18.65"
"Lichess auth IT","where too many logins from same IP triggers too-many-requests","ABORTED","2022-02-01T22:21:36.998421+01:00[Europe/Berlin]","0.0","1.94"
"Lichess tutorial IT","when playing the first tutorial, part one","ABORTED","2022-02-01T22:21:41.705008+01:00[Europe/Berlin]","0.0","0.06"
"Lichess tutorial IT","when playing the first tutorial, part two","ABORTED","2022-02-01T22:21:41.822811+01:00[Europe/Berlin]","0.0","0.02"
"Lichess auth IT","where reusing browser session cookie skips login form","ABORTED","2022-02-01T22:21:42.39717+01:00[Europe/Berlin]","0.0","0.01"
